2026-01-24 17:58:00 | common | base.py | 550 | _invoke_task |  | INFO | begin to invoke, input: {'input': '100加200等于多少？', 'is_end': False, 'loop_count': 0}
2026-01-24 17:58:08 | common | checkpointer.py | 28 | pre_workflow_execute |  | INFO | workflow: cc85c667911e4fda98cd4f58215c0ab6 create or restore checkpoint from session: d19b4ba5f08f43129452a8069b2fff79
2026-01-24 17:58:08 | common | default_model.py | 684 | _build_request_params |  | INFO | Before request openai chat model, request params is ready.
2026-01-24 17:58:12 | common | default_model.py | 684 | _build_request_params |  | INFO | Before request openai chat model, request params is ready.
2026-01-24 17:58:14 | common | checkpointer.py | 58 | post_workflow_execute |  | INFO | clear checkpoint for workflow: cc85c667911e4fda98cd4f58215c0ab6 in session: d19b4ba5f08f43129452a8069b2fff79
2026-01-24 17:58:14 | common | checkpointer.py | 68 | post_workflow_execute |  | INFO | clear session: d19b4ba5f08f43129452a8069b2fff79
2026-01-24 17:58:14 | common | manager.py | 60 | stream_output |  | INFO | Received END_FRAME, stopping stream output.
2026-01-24 17:58:15 | common | emitter.py | 80 | close |  | INFO | StreamQueue closed successfully, timeout: -1
2026-01-24 17:58:15 | common | base.py | 569 | _invoke_task |  | INFO | end to invoke, results=result={'output': {'thought': '用户直接提出了一个数学问题，需要计算100加200的结果。因此，使用Calculator工具来进行计算。', 'loop_count': 1, 'tool_input': '100+200', 'selected_tool': 'Calculator', 'result': '300', 'is_end': True}} state=<WorkflowExecutionState.COMPLETED: 'COMPLETED'>
2026-01-24 17:59:15 | common | base.py | 550 | _invoke_task |  | INFO | begin to invoke, input: {'input': '今天天气？', 'is_end': False, 'loop_count': 0}
2026-01-24 17:59:22 | common | checkpointer.py | 28 | pre_workflow_execute |  | INFO | workflow: f442942ac22c4a3d9589df33c0d32737 create or restore checkpoint from session: f390ab8ecb4d426081227b75efdda167
2026-01-24 17:59:22 | common | default_model.py | 684 | _build_request_params |  | INFO | Before request openai chat model, request params is ready.
2026-01-24 17:59:26 | common | default_model.py | 684 | _build_request_params |  | INFO | Before request openai chat model, request params is ready.
2026-01-24 17:59:29 | common | default_model.py | 684 | _build_request_params |  | INFO | Before request openai chat model, request params is ready.
2026-01-24 17:59:31 | common | default_model.py | 684 | _build_request_params |  | INFO | Before request openai chat model, request params is ready.
2026-01-24 17:59:32 | common | default_model.py | 684 | _build_request_params |  | INFO | Before request openai chat model, request params is ready.
2026-01-24 17:59:34 | common | default_model.py | 684 | _build_request_params |  | INFO | Before request openai chat model, request params is ready.
2026-01-24 17:59:34 | common | checkpointer.py | 58 | post_workflow_execute |  | INFO | clear checkpoint for workflow: f442942ac22c4a3d9589df33c0d32737 in session: f390ab8ecb4d426081227b75efdda167
2026-01-24 17:59:35 | common | checkpointer.py | 68 | post_workflow_execute |  | INFO | clear session: f390ab8ecb4d426081227b75efdda167
